,epidermal cell_Skin,endothelial cell_Fat,basal cell_Mammary_Gland,endothelial cell_Heart,bladder cell_Bladder,leukocyte_Heart,microglial cell_Brain_Myeloid,immature T cell_Thymus,B cell_Spleen,macrophage_Kidney,mesenchymal stem cell of adipose_Fat,fibroblast_Heart,endocardial cell_Heart,skeletal muscle satellite stem cell_Limb_Muscle,bladder urothelial cell_Bladder,skeletal muscle satellite cell_Limb_Muscle,basal cell of epidermis_Tongue,astrocyte_Brain_Non-Myeloid,keratinocyte_Tongue,granulocyte_Marrow,endothelial cell_Trachea,basophil_Marrow,keratinocyte stem cell_Skin,basal cell of epidermis_Skin,mesenchymal cell_Trachea,natural killer cell_Fat,stromal cell_Lung,lung endothelial cell_Lung,oligodendrocyte_Brain_Non-Myeloid,endothelial cell_Brain_Non-Myeloid,Slamf1-positive multipotent progenitor cell_Marrow,megakaryocyte-erythroid progenitor cell_Marrow,epithelial cell of large intestine_Large_Intestine,immature B cell_Marrow,Slamf1-negative multipotent progenitor cell_Marrow,large intestine goblet cell_Large_Intestine,pancreatic A cell_Pancreas,natural killer cell_Liver,stem cell of epidermis_Skin,neuron_Brain_Non-Myeloid,monocyte_Marrow,Brush cell of epithelium proper of large intestine_Large_Intestine,late pro-B cell_Marrow,naive B cell_Marrow,granulocyte monocyte progenitor cell_Marrow,immature T cell_Marrow,cardiac muscle cell_Heart,hepatocyte_Liver,myeloid cell_Fat,T cell_Spleen,endothelial cell_Kidney,leukocyte_Thymus,granulocytopoietic cell_Marrow,B cell_Fat,oligodendrocyte precursor cell_Brain_Non-Myeloid,common lymphoid progenitor_Marrow,macrophage_Brain_Myeloid,macrophage_Marrow,T cell_Fat,type B pancreatic cell_Pancreas,endothelial cell of hepatic sinusoid_Liver,myeloid cell_Lung,luminal epithelial cell of mammary gland_Mammary_Gland,macrophage_Spleen,B cell_Marrow,hematopoietic precursor cell_Marrow,kidney collecting duct epithelial cell_Kidney,pre-natural killer cell_Marrow,leukocyte_Pancreas,Bergmann glial cell_Brain_Non-Myeloid,precursor B cell_Marrow,macrophage_Limb_Muscle,Kupffer cell_Liver,pancreatic acinar cell_Pancreas,blood cell_Trachea,epithelial cell of proximal tubule_Kidney,enterocyte of epithelium of large intestine_Large_Intestine,pancreatic PP cell_Pancreas,brain pericyte_Brain_Non-Myeloid,mature natural killer cell_Marrow,epithelial cell_Trachea,pancreatic ductal cell_Pancreas,stromal cell_Mammary_Gland,endothelial cell_Pancreas,endothelial cell_Mammary_Gland,professional antigen presenting cell_Heart,monocyte_Lung,erythrocyte_Heart,immature natural killer cell_Marrow,pancreatic D cell_Pancreas,classical monocyte_Lung,B cell_Liver,B cell_Lung,leukocyte_Skin,enteroendocrine cell_Large_Intestine,DN1 thymic pro-T cell_Thymus,T cell_Lung,natural killer cell_Lung,epithelial cell of lung_Lung,pancreatic stellate cell_Pancreas,ciliated columnar cell of tracheobronchial tree_Lung,endothelial cell_Limb_Muscle,smooth muscle cell_Heart,regulatory T cell_Marrow,leukocyte_Kidney,leukocyte_Lung,mesenchymal stem cell_Limb_Muscle,immature NK T cell_Marrow,B cell_Limb_Muscle,lymphocyte_Limb_Muscle,T cell_Limb_Muscle
AW146154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002503562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069357597,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07433002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bach1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059839991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496022794,NA,NA,NA,NA,NA,NA,NA,0.858147613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191954067,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.513232937,NA,NA,NA,NA,NA,NA,NA,0.111372375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433408372,NA,NA,NA,NA,0.210487104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bach2,NA,NA,NA,NA,NA,0.835007502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045529936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.363217804,NA,NA,0.178358084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16044996,0.105996598,NA,NA,NA,NA,NA,NA,NA,NA,17.02462629,0.088881208,NA,NA,NA,NA,0.024580407,NA,0.033623149,0.138218306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barhl1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0.010536263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barhl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002943934,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barx2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447266569,NA,NA,NA,15.8708753,0.60011302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026511885,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031581198,NA,NA,NA,NA,NA,0.023784781,1.83824493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073514117,NA,0.004143232,0.003646177,NA,0.11040884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.214277976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batf,NA,NA,NA,NA,NA,0.428726275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146299022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157788049,NA,NA,0.378978132,NA,NA,NA,NA,NA,NA,0.031661931,NA,NA,NA,NA,0.038219794,NA,NA,0.136603529,NA,NA,NA,NA,NA,NA,NA,2.054716118,NA,NA,NA,NA,0.026398581,NA,0.042110908,0.090021081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200150147,NA,NA,NA,NA,0.354271669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534244704
Batf2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005681068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270246744,NA,0.001782759,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batf3,NA,NA,NA,NA,NA,1.82648918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015029289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.011126478,NA,NA,NA,1.35271021,NA,NA,NA,NA,NA,NA,0.004774069,NA,NA,NA,NA,NA,3.578035441,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262603413,NA,NA,NA,NA,NA,NA,0.00385713,NA,NA,NA,NA,NA,NA,4.744408139,NA,NA,NA,NA,0.704486079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl11a,NA,NA,NA,NA,NA,NA,NA,NA,2.453857718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408418263,NA,NA,NA,NA,NA,NA,0.363273223,NA,NA,1.838062869,4.611400294,NA,NA,NA,NA,NA,NA,NA,NA,10.04153478,NA,0.079900407,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.540318477,NA,11.46678742,NA,NA,0.076237492,0.107949953,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055826103,NA,NA,NA,NA,0.094791281,NA,0.014080371,0.194448155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.847903941,NA,NA,NA,NA,NA,NA,0.286147572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl11b,11.58392835,NA,NA,NA,NA,NA,NA,7.596540853,1.710120643,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29226325,NA,NA,NA,NA,4.952796803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113547314,NA,NA,15.17900585,4.386281706,NA,NA,NA,NA,NA,NA,4.163846281,NA,NA,0.280890232,7.193458346,NA,NA,NA,NA,NA,0.078002779,NA,NA,NA,NA,0.02376161,0.067161711,2.668571071,NA,1.164803529,NA,NA,NA,NA,NA,NA,0.116639737,NA,NA,NA,NA,0.015805899,NA,0.009225172,0.074972171,NA,0.172543451,NA,NA,NA,NA,NA,NA,NA,NA,0.067123612,NA,NA,NA,NA,0.427782334,3.822639978,NA,0.301688684,NA,NA,NA,NA,12.99363681,NA,NA,NA,NA,NA,NA,1.337543022
Bcl3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.582026167,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22151638,0.62846474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565910257,NA,NA,NA,NA,NA,NA,0.036140544,NA,NA,NA,NA,NA,NA,2.632600403,NA,NA,NA,NA,NA,NA,NA,NA,2.764871056,NA,NA,NA,NA,0.040943279,NA,0.128985555,0.140832954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18141833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093433309,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.573731763,NA,NA,NA,2.455327328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056031399,NA,0.211624448,NA,NA,NA,NA,NA,NA,NA,0.014372928,NA,NA,NA,NA,0.13502856,0.200805148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145424538,NA,0.299378439,0.027730025,NA,NA,NA,NA,NA,NA,1.073890204,NA,NA,NA,0.120789809,NA,NA,NA,NA,NA,0.373078356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl6b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56933691,NA,NA,0.002859999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011960815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00728444,0.000880488,NA,NA,NA,NA,1.292291519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhlha15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010869323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001700699,NA,4.459564718,NA,NA,NA,NA,0.001807059,0.001686038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhlhe22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003873286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.052148496,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhlhe41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024425508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003321058,NA,NA,NA,NA,NA,0.05942982,2.565338108,NA,NA,NA,NA,NA,NA,NA,NA,0.059382738,NA,NA,NA,NA,0.032415714,NA,0.013299366,NA,NA,0.038631037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bmpr1a,NA,NA,NA,NA,NA,0.450234774,NA,NA,0.883684367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074125479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114999705,NA,NA,NA,NA,NA,0.267491681,NA,NA,NA,NA,0.058756812,NA,NA,0.960663815,NA,NA,NA,NA,NA,NA,0.074060303,NA,NA,NA,NA,0.178379004,0.227104049,NA,0.075628522,NA,NA,NA,NA,NA,NA,NA,0.246296025,NA,NA,NA,NA,NA,NA,0.522118803,0.008048716,NA,0.433139212,NA,NA,NA,NA,NA,NA,NA,NA,0.374879774,0.479569384,NA,NA,NA,0.062582044,0.138246944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bmyc,NA,NA,NA,NA,NA,0.548504078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319991204,NA,NA,NA,0.065346156,NA,0.505300091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.99220784,0.063099698,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019971126,NA,NA,NA,NA,0.048120196,0.384627071,NA,0.337621366,NA,NA,NA,NA,NA,NA,NA,0.142097689,NA,0.512006241,NA,NA,0.088851714,NA,0.064379006,0.245411623,NA,1.232003246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Btbd8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027064483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017076006,0.013246299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camta1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.780184444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.888255857,NA,NA,NA,NA,NA,NA,NA,NA,0.00578006,NA,NA,NA,NA,NA,0.082451951,NA,0.059865727,NA,NA,NA,NA,NA,NA,NA,0.088627176,NA,NA,NA,NA,0.064804703,NA,0.186218265,0.111023678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camta2,NA,NA,NA,NA,NA,NA,NA,0.272808219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058744409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220913435,NA,NA,NA,NA,NA,NA,0.013036664,NA,NA,NA,NA,NA,0.133347471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171404553,NA,0.318994094,0.028410701,NA,0.096935023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007859478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000928571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009685377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cbfa2t2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047959648,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011850646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469561705,NA,NA,NA,NA,NA,NA,0.03753553,0.080959154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cbfa2t3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.773920827,NA,NA,NA,NA,NA,NA,0.723700646,NA,NA,NA,0.465226728,NA,NA,NA,4.205571737,NA,NA,3.992758398,NA,NA,NA,2.909106839,1.223491341,NA,NA,NA,NA,0.337457,NA,NA,NA,31.38023366,0.161227091,NA,NA,0.80191499,NA,NA,NA,NA,NA,NA,2.433521924,NA,3.269117673,NA,NA,0.266738302,6.466729855,NA,NA,NA,9.090596969,NA,NA,NA,NA,NA,0.145091209,NA,NA,NA,NA,0.274453269,NA,0.13664556,0.037650644,NA,0.219576518,NA,NA,NA,5.62084496,3.646182437,NA,NA,NA,0.950927542,NA,NA,NA,NA,NA,0.420386668,NA,0.547003252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2736342
Cc2d1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048568035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051895474,NA,NA,NA,NA,0.053121159,NA,NA,0.113793282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cc2d1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03416726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01100401,NA,NA,NA,NA,NA,0.079300799,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207808802,NA,NA,NA,NA,NA,NA,NA,0.034502146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdc5l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.080192594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088857057,NA,NA,NA,NA,NA,0.56074962,NA,NA,NA,NA,0.058213174,NA,0.251328706,NA,NA,NA,NA,NA,NA,NA,0.039273041,NA,NA,NA,NA,0.065424292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056117662,NA,0.035673396,0.250170445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192097693,NA,NA,NA,NA,NA,NA,NA,0.172433152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdkn2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001811544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085628669,NA,NA,NA,NA,NA,NA,NA,NA,22.60903386,NA,NA,9.613711549,NA,NA,NA,NA,NA,19.99179599,NA,NA,NA,0.032004193,NA,NA,0.110043527,NA,NA,NA,NA,NA,NA,0.017780168,NA,NA,NA,NA,0.038266183,0.00605823,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020364486,NA,NA,NA,NA,4.914995317,NA,0.003845325,0.007516909,2.17472556,0.22742169,NA,NA,NA,NA,NA,NA,NA,NA,0.041568123,NA,NA,NA,NA,NA,NA,NA,0.393377919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cdx2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05363395,NA,NA,NA,NA,NA,NA,NA,NA,2.013735584,NA,NA,0.300442381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016832677,NA,NA,NA,NA,0.002697368,0.008076581,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012263553,NA,NA,NA,NA,1.59829642,NA,0.013516879,0.003379026,NA,0.125008098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316236236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
